Game No.,College (Pre-VR),,,,,,,Game No.,LSU (Pre-VR),,,,,,Game No.,Post-VR,,,,,,Game No.,NFL,,,,,
,Passer Rating,Completion %,Pass TD%,Int %,YPC,YPA,,,Passer Rating,Completion %,Pass TD%,Int %,YPC,YPA,,Passer Rating,Completion %,Pass TD%,Int %,YPC,YPA,,Passer Rating,Completion %,Pass TD%,Int %,YPC,YPA
1,131.3,0.625,0.083,0.000,1.083,11.833,,1,108.6,0.735,0.059,0.000,7.125,6.147,1,130.5,0.882,0.059,0.000,4.267,10.618,1,93.1,0.708,0.000,0.000,5.500,7.67
2,113.8,0.630,0.037,0.000,3.571,11.259,,2,158.1,0.909,0.273,0.000,6.000,12.455,2,130.7,0.690,0.138,0.034,3.600,11.034,2,99.1,0.793,0.000,0.000,4.400,7.79
3,72.6,0.577,0.000,0.000,3.083,5.385,,3,84.3,0.595,0.027,0.000,5.813,5.676,3,149.5,0.750,0.111,0.000,6.600,11.500,3,141.7,0.913,0.087,0.000,3.250,11.04
4,96.6,0.615,0.051,0.026,3.200,8.846,,4,106.8,0.828,0.000,0.000,4.111,9.621,4,152.6,0.714,0.143,0.000,8.667,12.333,4,96.3,0.867,0.033,0.033,5.875,7.77
5,80.9,0.583,0.000,0.000,7.000,7.250,,5,52.1,0.400,0.000,0.000,3.688,4.000,5,135.6,0.741,0.111,0.037,8.455,12.037,5,85.1,0.560,0.040,0.040,7.455,9.52
6,132.1,0.722,0.083,0.000,2.300,10.083,,6,87.3,0.711,0.022,0.022,2.375,6.667,6,154.9,0.733,0.200,0.000,1.200,18.600,6,110.3,0.686,0.057,0.000,3.667,7.69
7,16.4,0.222,0.000,0.056,0.500,1.389,,7,138.7,0.719,0.094,0.000,3.143,10.906,7,102.6,0.625,0.083,0.042,14.818,9.125,7,79.2,1.000,0.000,0.000,16.667,3.00
8,132.4,0.690,0.103,0.000,5.154,9.207,,8,125.3,0.750,0.071,0.000,5.261,8.857,8,147.1,0.654,0.115,0.000,19.500,14.308,8,92.7,0.553,0.026,0.000,6.500,8.58
9,124.1,0.667,0.083,0.000,-4.333,9.278,,9,103.9,0.688,0.063,0.000,5.278,5.688,9,158.3,0.833,0.200,0.000,9.600,13.767,9,128.8,0.682,0.091,0.000,4.375,9.50
10,142.7,0.688,0.094,0.000,1.250,12.750,,10,42.6,0.533,0.000,0.067,0.526,5.733,10,138.0,0.667,0.167,0.000,10.909,9.792,10,68.5,0.500,0.000,0.000,1.667,5.94
11,77.5,0.632,0.000,0.000,5.167,5.474,,11,119.5,0.759,0.034,0.000,9.250,10.241,11,,,,,,,11,81.6,0.688,0.031,0.031,2.571,5.97
12,66.8,0.429,0.000,0.000,3.000,6.964,,12,74.6,0.600,0.000,0.000,7.000,5.400,12,,,,,,,12,82.7,0.658,0.053,0.053,10.571,7.24
13,80.7,0.478,0.043,0.000,10.091,5.826,,13,90.3,0.667,0.042,0.042,-1.000,8.667,13,,,,,,,13,114.7,0.833,0.100,0.033,3.778,6.87
14,76.5,0.600,0.029,0.029,0.500,6.429,,14,114.6,0.706,0.059,0.000,11.167,8.176,14,,,,,,,14,118.5,0.806,0.065,0.000,6.000,7.29
15,158.3,0.818,0.182,0.000,5.750,18.455,,15,88.3,0.595,0.027,0.027,4.267,9.351,15,,,,,,,15,99.1,0.615,0.128,0.051,9.000,6.62
16,107.4,0.533,0.067,0.000,13.833,9.267,,16,150.9,0.750,0.208,0.000,5.800,11.208,16,,,,,,,16,100.1,0.667,0.083,0.028,7.938,6.31
17,112.5,0.833,0.000,0.000,6.667,11.000,,17,,,,,,,17,,,,,,,17,56.9,0.500,0.000,0.000,6.750,3.17
18,93.3,0.690,0.069,0.034,9.615,6.034,,18,,,,,,,18,,,,,,,18,,,,,,
19,71.8,0.724,0.000,0.069,0.800,9.138,,19,,,,,,,19,,,,,,,,,,,,,
20,101.4,0.720,0.000,0.000,10.714,9.440,,20,,,,,,,20,,,,,,,,,,,,,
21,146.3,0.684,0.105,0.000,7.500,15.053,,21,,,,,,,21,,,,,,,,,,,,,
22,84.5,0.609,0.000,0.000,5.846,7.609,,22,,,,,,,22,,,,,,,,,,,,,
23,109.2,0.645,0.065,0.000,2.286,7.645,,23,,,,,,,23,,,,,,,,,,,,,
24,69.7,0.657,0.029,0.057,3.100,6.514,,24,,,,,,,24,,,,,,,,,,,,,
25,38.5,0.550,0.000,0.100,10.000,7.250,,25,,,,,,,25,,,,,,,,,,,,,
26,72.4,0.625,0.063,0.063,3.733,5.625,,26,,,,,,,26,,,,,,,,,,,,,
27,61.7,0.593,0.000,0.037,4.600,6.148,,27,,,,,,,27,,,,,,,,,,,,,
28,126.8,0.714,0.143,0.000,8.600,6.143,,28,,,,,,,28,,,,,,,,,,,,,
29,57.4,0.524,0.000,0.048,2.105,7.571,,29,,,,,,,29,,,,,,,,,,,,,
30,108.6,0.735,0.059,0.000,7.125,6.147,,30,,,,,,,30,,,,,,,,,,,,,
31,158.1,0.909,0.273,0.000,6.000,12.455,,31,,,,,,,31,,,,,,,,,,,,,
32,84.3,0.595,0.027,0.000,5.813,5.676,,32,,,,,,,32,,,,,,,,,,,,,
33,106.8,0.828,0.000,0.000,4.111,9.621,,33,,,,,,,33,,,,,,,,,,,,,
34,52.1,0.400,0.000,0.000,3.688,4.000,,34,,,,,,,34,,,,,,,,,,,,,
35,87.3,0.711,0.022,0.022,2.375,6.667,,35,,,,,,,35,,,,,,,,,,,,,
36,138.7,0.719,0.094,0.000,3.143,10.906,,36,,,,,,,36,,,,,,,,,,,,,
37,125.3,0.750,0.071,0.000,5.261,8.857,,37,,,,,,,37,,,,,,,,,,,,,
38,103.9,0.688,0.063,0.000,5.278,5.688,,38,,,,,,,38,,,,,,,,,,,,,
39,42.6,0.533,0.000,0.067,0.526,5.733,,39,,,,,,,39,,,,,,,,,,,,,
40,119.5,0.759,0.034,0.000,9.250,10.241,,40,,,,,,,40,,,,,,,,,,,,,
41,74.6,0.600,0.000,0.000,7.000,5.400,,41,,,,,,,41,,,,,,,,,,,,,
42,90.3,0.667,0.042,0.042,-1.000,8.667,,42,,,,,,,42,,,,,,,,,,,,,
43,114.6,0.706,0.059,0.000,11.167,8.176,,43,,,,,,,43,,,,,,,,,,,,,
44,88.3,0.595,0.027,0.027,4.267,9.351,,44,,,,,,,44,,,,,,,,,,,,,
45,150.9,0.750,0.208,0.000,5.800,11.208,,45,,,,,,,45,,,,,,,,,,,,,
